profile,edge,strategy,fake_sni,app_cut,app_delay_ms,verified,duration_ms,error,targets
uacSpoofer 3,104.18.9.83,wrong_seq,www.speedtest.net,37,8,False,5920.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,www.speedtest.net,37,8,False,5937.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,www.speedtest.net,5,15,False,5944.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,www.speedtest.net,5,15,False,5753.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5504.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,www.speedtest.net,5,15,False,5733.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5505.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,www.speedtest.net,5,15,False,5736.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5514.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,www.speedtest.net,5,15,False,5935.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5503.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,www.speedtest.net,5,15,False,5943.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5508.3, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,www.speedtest.net,5,15,False,5914.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,www.speedtest.net,5,15,False,5936.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
